,Unnamed: 0,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度,known,unknown
39,39,2020-12-01,19955.0,41.0,5.0,2.0,14.0,2.0,2.0,20.0,76.0,50.0,91.0,572.0,258.0,2073.0,427.0,74.0,438.0,727.0,4693.0,52.0,150.0,767.0,144.0,2790.0,465.0,1181.0,1062.0,2138.0,754.0,325.0,88.0,1.0,8.0,25.0,88.0,16.0,22.0,25.0,9.0,2.0,215.0,2.0,5.0,10.0,1.0,11.0,5.0,25.0,4.0,41.0,45.0,3599.0,1389.0,8859.0,5548.0,138.0,58.0,249.0,25.0,2020,12,1387590,参考第2表(12月),福井県,136.7745,35.469,19951.0,4.0
40,40,2020-11-01,25119.0,205.0,6.0,8.0,29.0,10.0,19.0,58.0,72.0,74.0,106.0,568.0,400.0,3410.0,568.0,169.0,328.0,583.0,4514.0,138.0,257.0,982.0,346.0,4028.0,643.0,901.0,959.0,3301.0,1020.0,445.0,146.0,9.0,12.0,116.0,204.0,41.0,19.0,23.0,45.0,4.0,264.0,5.0,1.0,10.0,27.0,11.0,6.0,27.0,2.0,205.0,130.0,5336.0,1337.0,10513.0,6772.0,382.0,91.0,324.0,27.0,2020,11,1384547,参考第2表(11月),福井県,136.9155,35.4545,25117.0,2.0
41,41,2020-10-01,20464.0,22.0,8.0,15.0,35.0,6.0,3.0,34.0,73.0,78.0,103.0,351.0,247.0,1910.0,480.0,180.0,471.0,658.0,4216.0,56.0,155.0,867.0,261.0,3371.0,359.0,860.0,797.0,2456.0,1161.0,396.0,142.0,21.0,9.0,83.0,182.0,27.0,35.0,18.0,23.0,5.0,186.0,6.0,9.0,24.0,28.0,6.0,13.0,17.0,1.0,22.0,101.0,3298.0,1464.0,9074.0,5812.0,322.0,81.0,272.0,17.0,2020,10,1379354,参考第2表(10月),福井県,136.7066,35.4258,20463.0,1.0
42,42,2020-09-01,14047.0,57.0,4.0,8.0,33.0,1.0,7.0,31.0,40.0,8.0,68.0,276.0,211.0,577.0,365.0,76.0,198.0,455.0,3748.0,40.0,110.0,516.0,116.0,2057.0,160.0,568.0,780.0,2075.0,841.0,308.0,64.0,6.0,1.0,41.0,66.0,15.0,20.0,30.0,6.0,6.0,46.0,0.0,3.0,1.0,3.0,2.0,2.0,0.0,1.0,57.0,84.0,1585.0,839.0,6597.0,4636.0,129.0,62.0,57.0,0.0,2020,9,1374114,参考第2表(9月),福井県,136.5679,35.4693,14046.0,1.0
43,43,2020-08-01,16953.0,9.0,0.0,6.0,22.0,1.0,18.0,12.0,38.0,31.0,91.0,280.0,133.0,530.0,322.0,68.0,221.0,398.0,5152.0,44.0,97.0,542.0,152.0,1912.0,155.0,831.0,1227.0,2944.0,1051.0,369.0,46.0,4.0,14.0,31.0,48.0,3.0,5.0,16.0,7.0,2.0,75.0,21.0,4.0,2.0,1.0,8.0,2.0,4.0,4.0,9.0,59.0,1469.0,784.0,7913.0,6468.0,100.0,30.0,113.0,4.0,2020,8,1369459,参考第2表(8月),福井県,136.38,35.417,16949.0,4.0
44,44,2020-07-01,14848.0,15.0,5.0,6.0,11.0,6.0,10.0,9.0,57.0,19.0,22.0,92.0,80.0,330.0,119.0,40.0,151.0,141.0,10274.0,12.0,59.0,216.0,77.0,917.0,86.0,238.0,357.0,897.0,343.0,102.0,16.0,8.0,2.0,26.0,28.0,5.0,8.0,5.0,4.0,8.0,19.0,0.0,5.0,2.0,5.0,0.0,4.0,8.0,4.0,15.0,47.0,731.0,391.0,11570.0,1953.0,69.0,25.0,35.0,8.0,2020,7,1364794,参考第2表(7月),福井県,136.3798,35.8156,14844.0,4.0
45,45,2020-06-01,3585.0,11.0,4.0,1.0,5.0,3.0,5.0,4.0,24.0,6.0,10.0,35.0,42.0,185.0,89.0,22.0,93.0,80.0,1477.0,2.0,21.0,122.0,25.0,353.0,45.0,157.0,169.0,324.0,90.0,37.0,13.0,9.0,3.0,16.0,48.0,5.0,5.0,8.0,8.0,4.0,13.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,11.0,22.0,393.0,216.0,2022.0,790.0,81.0,25.0,23.0,1.0,2020,6,1360468,参考第2表(6月),福井県,136.5435,35.6288,3584.0,1.0
46,46,2020-05-01,356.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,15.0,7.0,59.0,22.0,6.0,6.0,7.0,94.0,2.0,6.0,3.0,5.0,21.0,4.0,4.0,9.0,23.0,11.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,5.0,113.0,25.0,127.0,51.0,8.0,6.0,12.0,1.0,2020,5,1355869,参考第2表(5月),福井県,137.2189,35.7082,355.0,1.0
47,47,2020-04-01,1786.0,14.0,1.0,1.0,10.0,3.0,1.0,8.0,26.0,0.0,4.0,22.0,18.0,107.0,33.0,13.0,24.0,86.0,432.0,5.0,9.0,72.0,12.0,246.0,30.0,104.0,124.0,229.0,69.0,27.0,6.0,3.0,0.0,10.0,7.0,4.0,0.0,4.0,9.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,24.0,215.0,132.0,792.0,559.0,24.0,15.0,7.0,0.0,2020,4,1350481,参考第2表(4月),福井県,136.6521,35.5462,1782.0,4.0
48,48,2020-03-01,13117.0,237.0,6.0,14.0,41.0,7.0,10.0,33.0,101.0,25.0,48.0,239.0,175.0,858.0,271.0,80.0,316.0,522.0,2083.0,40.0,115.0,641.0,212.0,1952.0,322.0,698.0,834.0,2014.0,615.0,273.0,56.0,6.0,17.0,37.0,54.0,9.0,25.0,20.0,18.0,1.0,46.0,9.0,8.0,2.0,5.0,0.0,9.0,6.0,7.0,237.0,111.0,1757.0,1033.0,5210.0,4490.0,123.0,64.0,79.0,6.0,2020,3,1345427,参考第2表(3月),福井県,136.7497,35.5255,13110.0,7.0
49,49,2020-02-01,29025.0,179.0,36.0,9.0,31.0,9.0,18.0,18.0,89.0,62.0,94.0,413.0,255.0,1561.0,570.0,142.0,680.0,676.0,10028.0,36.0,258.0,857.0,684.0,2257.0,605.0,1270.0,1498.0,3292.0,1059.0,413.0,732.0,14.0,15.0,109.0,231.0,17.0,16.0,43.0,12.0,22.0,104.0,11.0,0.0,60.0,24.0,8.0,23.0,15.0,470.0,179.0,121.0,3080.0,1756.0,14431.0,8264.0,386.0,93.0,230.0,15.0,2020,2,1342341,参考第2表(2月),福井県,136.5365,35.5468,28555.0,470.0
50,50,2020-01-01,25716.0,21.0,12.0,13.0,22.0,2.0,12.0,18.0,45.0,33.0,94.0,385.0,208.0,1299.0,408.0,103.0,549.0,1084.0,8693.0,37.0,138.0,474.0,311.0,2636.0,487.0,982.0,1164.0,3501.0,928.0,430.0,295.0,0.0,22.0,71.0,84.0,33.0,25.0,24.0,22.0,63.0,86.0,0.0,3.0,14.0,2.0,5.0,11.0,55.0,812.0,21.0,79.0,2509.0,1874.0,12601.0,7300.0,210.0,134.0,121.0,55.0,2020,1,1335949,参考第2表(1月),福井県,136.4775,35.505,24904.0,812.0
51,51,2019-12-01,25581.0,112.0,8.0,12.0,27.0,27.0,33.0,20.0,52.0,46.0,124.0,520.0,250.0,1437.0,433.0,118.0,391.0,604.0,9719.0,50.0,180.0,657.0,345.0,3005.0,519.0,1144.0,1017.0,2367.0,715.0,393.0,115.0,114.0,12.0,45.0,88.0,24.0,30.0,31.0,35.0,44.0,65.0,6.0,15.0,20.0,5.0,21.0,22.0,24.0,446.0,112.0,127.0,2912.0,1293.0,14245.0,5751.0,283.0,140.0,154.0,24.0,2019,12,1330002,参考第2表(12月),福井県,136.6131,35.5957,25041.0,540.0
52,52,2019-11-01,36187.0,308.0,22.0,25.0,104.0,17.0,18.0,69.0,148.0,57.0,119.0,595.0,432.0,2965.0,595.0,546.0,917.0,1069.0,9931.0,304.0,421.0,1094.0,1101.0,3722.0,1084.0,1024.0,1078.0,3538.0,1520.0,693.0,164.0,507.0,35.0,191.0,305.0,47.0,97.0,135.0,42.0,23.0,168.0,37.0,48.0,12.0,26.0,43.0,10.0,43.0,639.0,308.0,255.0,5215.0,2953.0,16932.0,8017.0,1085.0,297.0,344.0,43.0,2019,11,1325397,参考第2表(11月),福井県,136.7408,35.5878,35449.0,738.0
53,53,2019-10-01,28735.0,143.0,87.0,26.0,64.0,35.0,82.0,52.0,129.0,167.0,116.0,389.0,322.0,1262.0,490.0,524.0,1086.0,1072.0,8413.0,100.0,483.0,844.0,1110.0,2871.0,431.0,738.0,934.0,3128.0,1195.0,287.0,142.0,54.0,43.0,227.0,339.0,62.0,139.0,53.0,66.0,33.0,137.0,10.0,58.0,50.0,9.0,38.0,81.0,53.0,561.0,143.0,346.0,2975.0,3165.0,13669.0,6424.0,725.0,291.0,383.0,53.0,2019,10,1321280,参考第2表(10月),福井県,136.6123,35.6018,28174.0,561.0
54,54,2019-09-01,26413.0,302.0,65.0,41.0,135.0,24.0,57.0,38.0,131.0,132.0,269.0,515.0,374.0,2128.0,645.0,402.0,522.0,866.0,5690.0,113.0,346.0,768.0,425.0,2678.0,611.0,759.0,1115.0,3782.0,1125.0,509.0,109.0,69.0,31.0,299.0,417.0,65.0,47.0,87.0,25.0,17.0,124.0,9.0,17.0,21.0,13.0,4.0,7.0,7.0,478.0,302.0,360.0,4307.0,2136.0,10172.0,7399.0,881.0,176.0,195.0,7.0,2019,9,1317978,参考第2表(9月),福井県,136.7733,35.5831,25935.0,478.0
55,55,2019-08-01,43942.0,47.0,41.0,20.0,91.0,17.0,39.0,102.0,181.0,181.0,308.0,1151.0,706.0,3201.0,1149.0,618.0,887.0,643.0,5040.0,112.0,577.0,1680.0,726.0,5623.0,1367.0,1862.0,2626.0,8051.0,3588.0,1277.0,333.0,49.0,29.0,227.0,339.0,45.0,64.0,117.0,42.0,29.0,152.0,4.0,23.0,44.0,10.0,12.0,22.0,8.0,482.0,47.0,310.0,6989.0,2725.0,14436.0,17737.0,689.0,252.0,267.0,8.0,2019,8,1314286,参考第2表(8月),福井県,136.6734,35.3057,43460.0,482.0
56,56,2019-07-01,28996.0,114.0,41.0,17.0,45.0,42.0,16.0,81.0,140.0,71.0,94.0,495.0,399.0,1546.0,647.0,285.0,708.0,874.0,5735.0,49.0,393.0,1262.0,360.0,3616.0,670.0,1008.0,1292.0,4844.0,1791.0,605.0,278.0,34.0,37.0,224.0,124.0,51.0,106.0,123.0,53.0,24.0,70.0,12.0,8.0,23.0,8.0,9.0,31.0,16.0,525.0,114.0,242.0,3441.0,2260.0,11643.0,9818.0,470.0,306.0,161.0,16.0,2019,7,1309596,参考第2表(7月),福井県,136.5797,35.4257,28471.0,525.0
57,57,2019-06-01,27538.0,90.0,32.0,19.0,84.0,20.0,44.0,120.0,244.0,107.0,349.0,300.0,245.0,1383.0,462.0,458.0,620.0,1084.0,7521.0,103.0,385.0,613.0,189.0,2969.0,516.0,508.0,1270.0,4485.0,686.0,342.0,105.0,39.0,110.0,112.0,214.0,20.0,113.0,227.0,66.0,87.0,138.0,8.0,17.0,11.0,11.0,46.0,76.0,12.0,878.0,90.0,319.0,3193.0,2547.0,11808.0,7396.0,495.0,493.0,307.0,12.0,2019,6,1304386,参考第2表(6月),福井県,136.5631,35.5514,26660.0,878.0
58,58,2019-05-01,28802.0,201.0,37.0,22.0,96.0,48.0,27.0,107.0,187.0,127.0,156.0,550.0,347.0,2345.0,603.0,295.0,648.0,997.0,5708.0,207.0,364.0,734.0,409.0,2333.0,898.0,757.0,1265.0,4510.0,1267.0,500.0,185.0,32.0,16.0,196.0,291.0,35.0,84.0,267.0,65.0,15.0,136.0,7.0,81.0,84.0,14.0,17.0,49.0,10.0,1473.0,201.0,337.0,4522.0,2304.0,10082.0,8484.0,570.0,431.0,388.0,10.0,2019,5,1300946,参考第2表(5月),福井県,136.6807,35.4881,27329.0,1473.0
59,59,2019-04-01,23690.0,261.0,12.0,16.0,57.0,23.0,35.0,54.0,81.0,36.0,90.0,371.0,242.0,1930.0,626.0,266.0,315.0,364.0,3964.0,91.0,193.0,536.0,303.0,1859.0,362.0,539.0,773.0,6977.0,836.0,272.0,128.0,16.0,44.0,155.0,183.0,50.0,29.0,67.0,54.0,37.0,130.0,4.0,16.0,13.0,10.0,4.0,44.0,24.0,1198.0,261.0,197.0,3467.0,1138.0,7024.0,9525.0,448.0,187.0,221.0,24.0,2019,4,1295994,参考第2表(4月),福井県,136.5657,35.3771,22492.0,1198.0
60,60,2019-03-01,35642.0,98.0,8.0,28.0,57.0,12.0,35.0,59.0,96.0,113.0,125.0,542.0,282.0,6244.0,458.0,202.0,773.0,907.0,8934.0,162.0,310.0,1398.0,337.0,3420.0,619.0,1525.0,1519.0,4126.0,1398.0,440.0,128.0,16.0,27.0,243.0,192.0,58.0,59.0,90.0,26.0,29.0,95.0,4.0,11.0,19.0,6.0,7.0,14.0,12.0,379.0,98.0,199.0,8022.0,2192.0,14708.0,9136.0,536.0,204.0,156.0,12.0,2019,3,1291373,参考第2表(3月),福井県,136.9609,35.5346,35263.0,379.0
61,61,2019-02-01,32493.0,38.0,7.0,44.0,16.0,6.0,7.0,12.0,90.0,49.0,55.0,261.0,204.0,4184.0,365.0,56.0,727.0,856.0,11300.0,75.0,146.0,811.0,253.0,2677.0,287.0,1347.0,1544.0,3764.0,815.0,306.0,244.0,5.0,9.0,151.0,65.0,8.0,32.0,32.0,12.0,83.0,294.0,2.0,4.0,19.0,2.0,101.0,19.0,21.0,1024.0,38.0,92.0,5283.0,1785.0,15328.0,8020.0,238.0,159.0,441.0,21.0,2019,2,1287456,参考第2表(2月),福井県,136.6791,35.5471,31405.0,1088.0
62,62,2019-01-01,30093.0,34.0,4.0,15.0,22.0,0.0,6.0,25.0,54.0,36.0,65.0,265.0,217.0,4492.0,282.0,94.0,433.0,968.0,9941.0,23.0,85.0,825.0,181.0,2584.0,370.0,1313.0,1610.0,3715.0,713.0,388.0,264.0,4.0,0.0,56.0,64.0,8.0,21.0,28.0,12.0,14.0,298.0,17.0,4.0,40.0,11.0,1.0,1.0,9.0,396.0,34.0,72.0,5434.0,1580.0,13901.0,8003.0,132.0,75.0,372.0,9.0,2019,1,1282241,参考第2表(1月),福井県,136.7398,35.5355,29612.0,481.0
63,63,2018-12-01,39505.0,98.0,13.0,20.0,87.0,35.0,18.0,91.0,103.0,119.0,138.0,354.0,242.0,4465.0,465.0,304.0,501.0,882.0,18532.0,48.0,208.0,973.0,559.0,2883.0,581.0,908.0,1216.0,3095.0,881.0,355.0,167.0,7.0,31.0,62.0,131.0,37.0,25.0,171.0,16.0,5.0,96.0,25.0,2.0,9.0,2.0,1.0,11.0,10.0,427.0,98.0,264.0,5934.0,1895.0,23528.0,6622.0,268.0,217.0,146.0,10.0,2018,12,1274859,参考第2表(12月),福井県,136.7704,35.7156,38982.0,523.0
64,64,2018-11-01,38072.0,154.0,26.0,25.0,129.0,47.0,34.0,160.0,205.0,161.0,305.0,597.0,391.0,4933.0,671.0,413.0,1034.0,1144.0,10914.0,353.0,545.0,1231.0,715.0,4106.0,620.0,1206.0,1254.0,3449.0,1146.0,377.0,119.0,7.0,41.0,201.0,188.0,43.0,56.0,107.0,174.0,15.0,163.0,26.0,17.0,47.0,19.0,31.0,16.0,27.0,325.0,154.0,421.0,7616.0,3136.0,17586.0,7551.0,480.0,352.0,319.0,27.0,2018,11,1270912,参考第2表(11月),福井県,136.9614,35.6294,37642.0,430.0
65,65,2018-10-01,31712.0,279.0,215.0,113.0,62.0,101.0,94.0,22.0,518.0,95.0,146.0,618.0,524.0,3563.0,628.0,294.0,585.0,466.0,10789.0,82.0,329.0,748.0,1509.0,1781.0,278.0,578.0,934.0,1959.0,551.0,162.0,443.0,33.0,98.0,116.0,180.0,351.0,213.0,89.0,417.0,75.0,182.0,172.0,25.0,309.0,130.0,84.0,94.0,187.0,395.0,279.0,607.0,6174.0,1674.0,15105.0,4627.0,778.0,794.0,996.0,187.0,2018,10,1267081,参考第2表(10月),福井県,136.7647,35.6011,31221.0,491.0
66,66,2018-09-01,32401.0,125.0,50.0,100.0,64.0,135.0,65.0,44.0,156.0,150.0,105.0,510.0,339.0,4692.0,392.0,239.0,536.0,661.0,7904.0,64.0,263.0,945.0,877.0,2294.0,404.0,569.0,1955.0,4931.0,1171.0,381.0,157.0,98.0,76.0,133.0,316.0,333.0,72.0,59.0,179.0,72.0,157.0,28.0,13.0,183.0,64.0,77.0,174.0,24.0,65.0,125.0,458.0,6408.0,1699.0,12424.0,9164.0,956.0,382.0,696.0,24.0,2018,9,1263226,参考第2表(9月),福井県,136.7105,35.4636,32336.0,65.0
67,67,2018-08-01,47064.0,63.0,18.0,23.0,47.0,28.0,50.0,54.0,142.0,118.0,184.0,709.0,447.0,9388.0,838.0,421.0,848.0,661.0,3912.0,106.0,435.0,1966.0,428.0,5841.0,944.0,1376.0,2775.0,9561.0,2947.0,1022.0,369.0,54.0,29.0,167.0,164.0,148.0,108.0,108.0,66.0,7.0,117.0,17.0,4.0,21.0,10.0,6.0,18.0,9.0,150.0,63.0,220.0,11932.0,2365.0,13091.0,18050.0,562.0,289.0,193.0,9.0,2018,8,1258931,参考第2表(8月),福井県,136.9797,35.3107,46774.0,290.0
68,68,2018-07-01,29134.0,85.0,16.0,25.0,67.0,10.0,15.0,56.0,127.0,73.0,97.0,308.0,284.0,4588.0,457.0,283.0,634.0,515.0,6436.0,38.0,319.0,1063.0,188.0,4160.0,603.0,762.0,1107.0,3814.0,1415.0,444.0,149.0,29.0,47.0,105.0,80.0,32.0,36.0,199.0,34.0,20.0,78.0,5.0,6.0,31.0,3.0,3.0,12.0,77.0,93.0,85.0,189.0,5972.0,1751.0,12450.0,7691.0,293.0,289.0,138.0,77.0,2018,7,1255551,参考第2表(7月),福井県,136.903,35.4705,28935.0,199.0
69,69,2018-06-01,25549.0,234.0,22.0,12.0,92.0,49.0,4.0,104.0,59.0,75.0,95.0,180.0,196.0,3652.0,420.0,527.0,641.0,521.0,9184.0,16.0,260.0,749.0,307.0,1808.0,310.0,486.0,643.0,2153.0,813.0,382.0,56.0,51.0,47.0,106.0,140.0,25.0,37.0,38.0,30.0,0.0,83.0,2.0,7.0,10.0,2.0,16.0,22.0,3.0,780.0,234.0,283.0,4693.0,1949.0,12358.0,4533.0,369.0,105.0,142.0,3.0,2018,6,1251331,参考第2表(6月),福井県,136.9686,35.7635,24669.0,880.0
70,70,2018-05-01,26532.0,240.0,22.0,21.0,52.0,9.0,20.0,50.0,137.0,71.0,156.0,450.0,259.0,4699.0,634.0,262.0,428.0,807.0,6106.0,35.0,455.0,1221.0,490.0,2064.0,364.0,554.0,667.0,2650.0,712.0,263.0,257.0,20.0,20.0,108.0,215.0,86.0,69.0,108.0,30.0,27.0,104.0,3.0,4.0,22.0,6.0,6.0,28.0,1.0,1394.0,240.0,174.0,6441.0,1952.0,10245.0,5103.0,449.0,234.0,173.0,1.0,2018,5,1247508,参考第2表(5月),福井県,137.145,35.6342,25012.0,1520.0
71,71,2018-04-01,28979.0,273.0,15.0,34.0,35.0,4.0,64.0,109.0,76.0,52.0,127.0,258.0,171.0,4238.0,424.0,181.0,464.0,835.0,6492.0,21.0,227.0,789.0,411.0,2562.0,310.0,408.0,1151.0,5967.0,681.0,192.0,76.0,2.0,18.0,100.0,235.0,49.0,30.0,73.0,13.0,13.0,54.0,10.0,9.0,23.0,21.0,9.0,7.0,13.0,1515.0,273.0,261.0,5367.0,1707.0,10564.0,8475.0,404.0,129.0,133.0,13.0,2018,4,1240838,参考第2表(4月),福井県,136.8591,35.5362,27326.0,1653.0
72,72,2018-03-01,37000.0,334.0,21.0,4.0,33.0,73.0,9.0,13.0,56.0,53.0,82.0,269.0,227.0,5120.0,391.0,115.0,620.0,781.0,9949.0,85.0,374.0,732.0,355.0,3988.0,572.0,942.0,1210.0,3745.0,950.0,357.0,117.0,10.0,8.0,346.0,43.0,55.0,32.0,24.0,43.0,18.0,82.0,15.0,8.0,21.0,10.0,3.0,17.0,17.0,207.0,334.0,153.0,6283.0,1890.0,15596.0,7321.0,462.0,117.0,156.0,17.0,2018,3,1264411,参考第2表(3月),福井県,136.9155,35.6205,32329.0,4671.0
73,73,2018-02-01,26506.0,18.0,6.0,44.0,22.0,4.0,8.0,38.0,22.0,16.0,42.0,154.0,152.0,2985.0,194.0,62.0,434.0,1281.0,9019.0,32.0,85.0,488.0,181.0,2169.0,141.0,529.0,1268.0,2831.0,545.0,318.0,129.0,0.0,0.0,136.0,54.0,5.0,15.0,11.0,4.0,3.0,25.0,2.0,0.0,16.0,0.0,4.0,4.0,86.0,340.0,18.0,122.0,3597.0,1862.0,11998.0,5620.0,195.0,33.0,51.0,86.0,2018,2,1264410,参考第2表(2月),福井県,136.6958,35.6006,23582.0,2924.0
74,74,2018-01-01,31723.0,38.0,14.0,4.0,49.0,0.0,0.0,13.0,37.0,11.0,50.0,144.0,132.0,4020.0,271.0,37.0,774.0,1895.0,9413.0,42.0,67.0,670.0,322.0,2897.0,291.0,1009.0,1232.0,3191.0,827.0,345.0,116.0,0.0,7.0,62.0,105.0,5.0,16.0,25.0,4.0,6.0,31.0,16.0,2.0,14.0,7.0,0.0,0.0,14.0,237.0,38.0,80.0,4707.0,2773.0,13593.0,6720.0,179.0,51.0,70.0,14.0,2018,1,1264409,参考第2表(1月),福井県,136.7927,35.6145,28225.0,3498.0
75,75,2017-12-01,38910.0,61.0,1.0,6.0,31.0,4.0,0.0,49.0,50.0,23.0,55.0,199.0,230.0,4854.0,314.0,86.0,529.0,1888.0,17874.0,83.0,93.0,719.0,332.0,2844.0,489.0,972.0,1847.0,3010.0,646.0,374.0,219.0,4.0,9.0,107.0,42.0,0.0,45.0,30.0,35.0,15.0,35.0,2.0,14.0,36.0,3.0,35.0,16.0,21.0,349.0,61.0,91.0,5808.0,2596.0,22258.0,7068.0,162.0,125.0,141.0,21.0,2017,12,1264407,参考第2表(12月),福井県,136.731,35.6975,38331.0,579.0
76,76,2017-11-01,37005.0,236.0,7.0,29.0,81.0,20.0,21.0,81.0,161.0,83.0,213.0,420.0,398.0,5534.0,599.0,382.0,514.0,908.0,11158.0,132.0,451.0,1498.0,696.0,4110.0,699.0,764.0,1391.0,3281.0,988.0,212.0,226.0,22.0,46.0,68.0,165.0,36.0,122.0,43.0,38.0,54.0,420.0,5.0,8.0,41.0,19.0,50.0,117.0,10.0,315.0,236.0,239.0,7540.0,2255.0,18161.0,6862.0,337.0,257.0,660.0,10.0,2017,11,1264406,参考第2表(11月),福井県,136.9328,35.6023,36557.0,448.0
